Category,Tyres,Pit Stops,Best Lap Kph,Best Lap Time
LMP2,G,28,225.7,03:37.3
LMGTE Am,M,8,208.3,03:55.4
LMP2,G,18,225.2,03:37.8
LMP2,G,5,225.6,03:37.4
LMGTE Am,M,3,211.9,03:51.4
LMP2,G,22,226.7,03:36.4
HYPERCAR,M,30,234.9,03:28.8
LMP2,G,20,225.6,03:37.4
LMP2,G,31,226.0,03:37.1
HYPERCAR,M,28,235.9,03:28.0
LMP2,G,5,223.1,03:39.9
HYPERCAR,M,10,233.5,03:30.1
LMP2,G,3,225.6,03:37.4
LMP2,G,13,225.0,03:38.1
LMGTE Am,M,18,211.0,03:52.5
LMGTE Am,M,11,212.1,03:51.3
LMP2,G,24,226.7,03:36.4
HYPERCAR,M,6,233.0,03:30.6
LMGTE Am,M,2,207.7,03:56.2
LMP2,G,26,225.2,03:37.8
LMP2,G,5,224.0,03:39.0
HYPERCAR,M,3,233.1,03:30.4
LMP2,G,20,224.4,03:38.6
LMGTE Am,M,4,204.1,04:00.3
HYPERCAR,M,0,233.5,03:30.1
HYPERCAR,M,2,233.5,03:30.1
LMP2,G,29,225.7,03:37.3
HYPERCAR,M,11,233.6,03:30.0
LMP2,G,6,224.6,03:38.4
LMP2,G,4,226.7,03:36.4
LMGTE Am,M,4,208.7,03:55.0
LMGTE Am,M,2,207.7,03:56.2
LMGTE Am,M,3,211.0,03:52.5
LMP2,G,11,225.0,03:38.1
HYPERCAR,M,3,231.7,03:31.7
LMP2,G,6,225.0,03:38.1
LMGTE Am,M,17,209.0,03:54.7
LMGTE Am,M,17,210.5,03:53.1
LMP2,G,12,225.9,03:37.1
HYPERCAR,M,10,233.7,03:29.9
LMP2,G,16,225.7,03:37.3
LMGTE Am,M,2,212.0,03:51.4
LMP2,G,26,225.7,03:37.3
HYPERCAR,M,6,234.2,03:29.5
LMGTE Am,M,23,211.9,03:51.4
LMP2,G,13,225.0,03:38.1
LMGTE Am,M,14,208.7,03:55.1
HYPERCAR,M,13,234.0,03:29.7
LMGTE Am,M,4,208.6,03:55.1
LMGTE Am,M,2,205.5,03:58.7
HYPERCAR,M,2,233.6,03:30.0
LMGTE Am,M,23,212.9,03:50.4
HYPERCAR,M,11,233.5,03:30.1
HYPERCAR,M,3,234.2,03:29.5
LMP2,G,27,226.0,03:37.1
HYPERCAR,M,9,235.5,03:28.3
LMGTE Am,M,5,208.7,03:55.0
LMP2,G,5,225.0,03:38.1
LMGTE Am,M,16,211.0,03:52.5
INNOVATIVE CAR,G,23,212.6,03:50.7
LMP2,G,32,226.3,03:36.7
LMGTE Am,M,0,212.0,03:51.4
LMGTE Am,M,8,210.5,03:53.1
HYPERCAR,M,10,233.6,03:30.0
HYPERCAR,M,27,235.3,03:28.4
HYPERCAR,M,25,235.5,03:28.3
LMP2,G,2,218.8,03:44.2
HYPERCAR,M,6,234.0,03:29.7
LMP2,G,5,225.0,03:38.0
HYPERCAR,M,11,235.5,03:28.3
LMP2,G,5,225.3,03:37.7
LMP2,G,14,223.6,03:39.3
LMGTE Am,M,18,210.0,03:53.6
LMP2,G,23,226.1,03:37.0
LMP2,G,16,223.9,03:39.0
HYPERCAR,M,8,234.6,03:29.1
LMP2,G,18,223.2,03:39.8
LMP2,G,8,225.0,03:38.0
LMGTE Am,M,7,210.7,03:52.8
LMGTE Am,M,8,210.5,03:53.1
LMP2,G,11,223.7,03:39.3
HYPERCAR,M,14,234.7,03:29.0
LMP2,G,8,224.0,03:39.0
LMGTE Am,M,23,211.3,03:52.1
LMP2,G,12,225.2,03:37.8
LMGTE Am,M,5,208.7,03:55.0
LMP2,G,25,225.0,03:38.0
LMP2,G,15,223.6,03:39.4
HYPERCAR,M,7,234.0,03:29.7
LMP2,G,8,225.2,03:37.8
LMGTE Am,M,6,211.3,03:52.1
LMGTE Am,M,24,212.9,03:50.4
LMP2,G,24,225.6,03:37.4
HYPERCAR,M,11,233.5,03:30.1
LMGTE Am,M,4,210.7,03:52.8
LMP2,G,5,223.6,03:39.4
HYPERCAR,M,13,233.5,03:30.1
LMP2,G,14,224.4,03:38.6
LMGTE Am,M,14,211.3,03:52.1
HYPERCAR ,M,5,233.5,03:30.1
HYPERCAR,M,7,233.0,03:30.6
LMP2,G,29,226.9,03:36.2
LMP2,G,16,225.7,03:37.3
LMGTE Am,M,14,209.0,03:54.7
HYPERCAR,M,24,235.5,03:28.3
HYPERCAR,M,26,233.5,03:30.1
LMP2,G,14,226.7,03:36.4
HYPERCAR,M,29,235.9,03:28.0
LMGTE Am,M,2,207.7,03:56.2
LMGTE Am,M,2,212.0,03:51.4
LMP2,G,10,223.9,03:39.0
LMGTE Am,M,2,207.7,03:56.2
LMGTE Am,M,14,209.2,03:54.5
LMP2,G,15,223.6,03:39.4
HYPERCAR,M,10,233.6,03:30.0
LMGTE Am,M,14,211.0,03:52.5
LMP2,G,10,223.7,03:39.3
LMP2,G,15,223.9,03:39.0
LMGTE Am,M,9,211.3,03:52.1
LMP2,G,21,226.2,03:36.8
LMP2,G,6,223.9,03:39.0
LMP2,G,16,225.7,03:37.3
LMP2,G,11,223.6,03:39.3
LMGTE Am,M,5,208.7,03:55.0
LMP2,G,16,225.0,03:38.1
LMP2,G,16,224.6,03:38.4
HYPERCAR,M,22,235.5,03:28.3
LMGTE Am,M,2,205.5,03:58.7
LMGTE Am,M,19,210.1,03:53.4
LMGTE Am,M,16,209.8,03:53.8
HYPERCAR,M,28,235.9,03:28.0
LMGTE Am,M,2,209.8,03:53.8
LMGTE Am,M,13,212.1,03:51.3
LMGTE Am,M,20,210.5,03:53.1
LMP2,G,26,226.1,03:37.0
LMP2,G,21,225.0,03:38.0
LMGTE Am,M,8,210.5,03:53.1
LMP2,G,15,223.6,03:39.4
LMP2,G,1,225.3,03:37.7
HYPERCAR,M,3,233.7,03:29.9
HYPERCAR,M,6,230.4,03:32.9
LMP2,G,17,225.0,03:38.0
HYPERCAR,M,17,233.5,03:30.1
HYPERCAR,M,21,235.2,03:28.6
HYPERCAR,M,2,233.8,03:29.8
HYPERCAR,M,3,231.7,03:31.7
LMGTE Am,M,2,209.0,03:54.7
LMP2,G,18,223.2,03:39.8
LMP2,G,26,225.7,03:37.3
LMP2,G,26,225.0,03:38.0
HYPERCAR,M,15,232.9,03:30.6
HYPERCAR,M,19,233.0,03:30.6
HYPERCAR,M,18,235.5,03:28.3
LMP2,G,13,223.6,03:39.4
LMGTE Am,M,10,211.3,03:52.1
LMGTE Am,M,23,212.6,03:50.8
LMGTE Am,M,7,210.5,03:53.1
LMGTE Am,M,11,209.0,03:54.7
LMP2,G,24,224.0,03:39.0
LMP2,G,23,226.7,03:36.4
LMP2,G,30,225.8,03:37.2
LMGTE Am,M,13,209.0,03:54.7
LMP2,G,28,225.0,03:38.1
LMP2,G,15,225.0,03:38.1
LMGTE Am,M,19,210.3,03:53.2
LMGTE Am,M,2,207.7,03:56.2
HYPERCAR,M,7,233.7,03:29.9
LMP2,G,30,227.1,03:36.0
HYPERCAR ,M,12,232.9,03:30.6
LMP2,G,11,223.7,03:39.3
LMP2,G,25,224.6,03:38.4
HYPERCAR,M,19,234.7,03:29.0
LMP2,G,2,218.8,03:44.2
LMGTE Am,M,7,211.0,03:52.5
LMGTE Am,M,20,210.5,03:53.1
LMP2,G,2,225.7,03:37.3
LMP2,G,10,225.3,03:37.7
LMP2,G,12,225.6,03:37.4
LMGTE Am,M,13,211.6,03:51.8
LMGTE Am,M,2,205.5,03:58.7
HYPERCAR,M,7,233.7,03:29.9
LMP2,G,5,220.6,03:42.4
HYPERCAR,M,19,230.7,03:32.6
LMP2,G,0,214.0,03:49.2
HYPERCAR,M,4,233.0,03:30.6
LMP2,G,18,225.9,03:37.1
LMP2,G,8,225.7,03:37.3
HYPERCAR,M,23,235.7,03:28.1
LMGTE Am,M,10,208.6,03:55.1
LMP2,G,14,223.6,03:39.3
LMP2,G,3,223.9,03:39.1
LMGTE Am,M,2,207.7,03:56.2
LMGTE Am,M,2,205.5,03:58.7
LMP2,G,10,223.6,03:39.3
LMGTE Am,M,4,208.6,03:55.1
LMP2,G,10,225.4,03:37.6
LMP2,G,23,224.4,03:38.6
LMP2,G,19,225.0,03:38.1
LMP2,G,3,219.9,03:43.1
LMGTE Am,M,12,208.6,03:55.1
HYPERCAR,M,32,233.8,03:29.8
LMP2,G,30,225.0,03:38.0
LMP2,G,1,225.0,03:38.0
LMP2,G,1,223.1,03:39.9
LMGTE Am,M,2,205.5,03:58.7
HYPERCAR,M,19,230.7,03:32.6
LMGTE Am,M,2,211.3,03:52.1
INNOVATIVE CAR,G,15,212.4,03:50.9
LMGTE Am,M,0,211.9,03:51.4
LMP2,G,7,225.4,03:37.6
LMGTE Am,M,2,212.0,03:51.4
HYPERCAR,M,14,234.7,03:29.0
HYPERCAR,M,12,233.5,03:30.1
LMP2,G,32,225.8,03:37.2
LMP2,G,16,223.9,03:39.0
LMGTE Am,M,21,211.0,03:52.5
LMGTE Am,M,15,211.9,03:51.4
LMGTE Am,M,2,207.7,03:56.2
HYPERCAR,M,25,235.5,03:28.3
LMGTE Am,M,8,208.6,03:55.1
LMGTE Am,M,2,208.9,03:54.8
LMP2,G,27,225.2,03:37.8
LMGTE Am,M,13,211.6,03:51.8
LMGTE Am,M,20,209.0,03:54.7
HYPERCAR,M,16,234.7,03:29.0
LMGTE Am,M,2,212.0,03:51.4
HYPERCAR,M,16,234.6,03:29.1
HYPERCAR,M,29,236.5,03:27.4
LMP2,G,32,226.0,03:37.1
LMP2,G,19,223.6,03:39.3
LMP2,G,7,226.7,03:36.4
LMGTE Am,M,6,207.5,03:56.4
LMP2,G,14,225.2,03:37.8
